EIN,NAME,ICO,STREET,RAW STREET,CITY,STATE,ZIP,Latitude,Longitude,Accuracy Score,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
10808098,IWT-TRNN INC,% JAY PAUL,231 HOLLIDAY ST,,BALTIMORE,MD,21202-3612,39.292148,-76.61004,1,0,3,3,7000,200407,1,10,000000000,1,1,,0,0,6,0,12,0,0,0,X21,
10814106,WORD OF LIFE CHAPEL INTERNATIONAL,% EDWARD ONYINAH POKU,503 WALNUT GROVE RD,,BALTIMORE,MD,21221-6097,39.286632,-76.450675,1,0,3,3,1000,200212,1,15,000000000,1,1,201612,1,1,2,0,12,110,316,316,Z99,
10816557,OUT OF BONDAGE MINISTRIES INC,% BARBARA MCFARLAND,7603 PERRING TER,,BALTIMORE,MD,21234-6120,39.374821,-76.559179,1,0,3,3,1000,200306,1,16,000000000,1,1,201806,7,5,1,0,6,5312064,847753,847753,L22,
10817022,FERNGAL MUSIC PRODUCTIONS PUBLISHING INC,% LORETTA BLAKE,1300 SOUTHVIEW RD,,BALTIMORE,MD,21218-1425,39.340478,-76.596054,1,0,3,3,1000,200503,1,15,000000000,1,1,201712,7,6,1,0,12,6376733,4602653,4571189,A32,
10819395,PATTERSON PARK PUBLIC CHARTER,% STEPHANIE V SIMMS,27 N LAKEWOOD AVE,,BALTIMORE,MD,21224-1155,39.292428,-76.578938,1,0,3,3,7000,200708,1,10,000000000,1,1,,0,0,6,0,12,0,0,0,X20,
10819657,CARING FOR OTHERS,% CAROLYN T BROWN,3034 TIOGA PKWY,,BALTIMORE,MD,21215-7923,39.317,-76.659655,1,0,3,3,7000,201408,1,10,000000000,1,1,201412,0,0,6,0,12,0,0,0,X20,
10845098,WOMEN EMPOWERING WOMEN MINSITRIES INC,% BERNICE BISHOP,1709 N BENTALOU ST,,BALTIMORE,MD,21216-3704,39.307926,-76.653696,1,0,3,3,1200,200702,1,15,000000000,1,1,201906,0,0,2,0,6,0,0,0,X80,
10860602,MEDINSIGHT RESEARCH INSTITUTE,,211 EAST LOMBARD STREET NUMBER 297,,BALTIMORE,MD,21202-6102,39.287682,-76.611173,1,0,3,3,1200,200502,1,11,000000000,1,1,201806,8,7,1,0,6,12339335,9261635,9231489,B29,
10870048,HIGHWAY BAPTIST CHURCH AND MINISTRIES,% OGDEN JONES,3340 FREDERICK AVE,,BALTIMORE,MD,21229-3810,39.281246,-76.673149,1,0,3,3,1000,200510,1,15,000000000,1,1,201712,0,0,2,0,12,0,0,0,B90,CFO
10910406,THE MARYLAND IMMIGRANT RIGHTS COALITION INC,% PATRICIA CHIRIBOGA-ROBY,211 E LOMBARD ST STE 251,,BALTIMORE,MD,21202-6102,39.287682,-76.611173,1,0,3,3,1000,200611,1,15,000000000,1,1,201812,0,0,2,0,12,0,0,0,X200,
10912891,BROWN ADVISORY CHARITABLE FOUNDATION INC,% DAVID M CHURCHILL,901 S BOND ST,,BALTIMORE,MD,21231-3339,39.280629,-76.59432,1,0,3,3,1200,200607,1,15,000000000,1,1,201812,0,0,2,0,12,0,0,0,H90,
10928215,MARYLAND SLEEP SOCIETY,,1211 CATHEDRAL ST,,BALTIMORE,MD,21201-5516,39.304026,-76.617994,1,0,3,3,7000,201007,1,10,000000000,1,1,,0,0,6,0,12,0,0,0,X20,
10949585,GREEN STREET ACADEMY INC,% DAVID L WARNOCK,125 N HILTON ST,,BALTIMORE,MD,21229-3748,39.288373,-76.671373,1,0,3,3,1000,200809,1,15,000000000,1,1,201806,0,0,2,0,6,0,0,0,I80,
10953041,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,% ROBERT BALDWIN,190 W OSTEND STREET,,BALTIMORE,MD,21230-3794,39.275414,-76.619873,1,0,3,3,1000,200811,1,4,263264279,1,1,201808,4,6,0,1,8,356474,1405212,0,T20,
10964153,PATAPSCO HIGH SCHOOL SPORTS HALL OF FAME,% LONNIE NELSON,8100 WISE AVE,,BALTIMORE,MD,21222-4844,39.265065,-76.488167,1,0,6,3,2000,201003,2,0,000000000,1,1,201809,3,3,1,0,9,38495,60620,60620,F037,
20259978,NATIONAL FEDERATION OF THE BLIND INC,% MR MARC MAURER,1800 JOHNSON ST,,BALTIMORE,MD,21230-4914,39.269086,-76.609918,1,0,3,3,2000,201309,1,11,059000000,1,1,201806,8,7,1,0,6,23850624,9644589,9644589,B20,
20547785,HOLY BIBLE CHURCH,% BISHOP CHARLES H WILSON JR,1800 N GAY ST,,BALTIMORE,MD,21213-2502,39.311296,-76.585716,1,1381,5,9,3000,195708,2,0,000000000,5,1,201812,0,0,2,0,12,0,0,0,,L0266MD SPRING GRV AND RICA EMPS
20637378,EMMANUEL WORSHIP AND DELIVERANCE CENTER,% JAMES B SMITH,1209 11 E 25TH ST,,BALTIMORE,MD,21218-0000,39.31771,-76.616874,1,0,3,3,1000,201106,1,16,000000000,1,1,201612,0,0,2,0,12,0,0,0,T30,
20645409,NEW MOUNT OLIVE BAPTIST CHURCH,% LEWIS G ROBINSON,PO BOX 66462,,,,,0,0,0,9386,3,9,7000,198804,1,10,000000000,1,1,,0,0,6,0,12,0,0,0,,
20645516,FRIENDS OF THE BALTIMORE CITY COLLEGE CHOIR INC,% LINDA R HALL,PO BOX 2035,,,,,0,0,0,0,3,3,2000,201903,1,3,000000000,1,1,,0,0,0,1,12,0,0,0,B30,
20649804,ANTON SAMUEL FAMILY FOUNDATION INC,% ANTON SAMUEL,8 BRANCHWOOD CT,,BALTIMORE,MD,21208-3301,39.390628,-76.69021,1,0,3,3,1200,194902,1,15,000000000,1,1,201812,8,8,1,0,12,25934412,22946381,21981503,G41Z,BLIND FEDERATION OF AMERICA
20649812,ISAAC B SAMUEL FAMILY FOUNDATION INC,% ISAAC B SAMUEL,3226 FALLSTAFF RD,,BALTIMORE,MD,21215-1721,39.370055,-76.699315,1,0,3,3,7000,200208,1,10,000000000,1,1,,0,0,6,0,12,0,0,0,X20,
20669776,KINGDOM OF PRAISE,% CALVIN HUGHES JR,4714 ERDMAN AVE,,BALTIMORE,MD,21205-3102,39.307872,-76.560073,1,0,3,3,7000,201106,1,10,000000000,1,1,,3,3,6,0,12,0,0,0,X20,
20699978,KINGDOM HOUSE INC,% ELAINE FORDHAM,7403 BROMPTON RD,,BALTIMORE,MD,21207-4541,39.342846,-76.742777,1,0,3,3,7000,200503,1,10,000000000,1,1,,0,0,6,0,12,0,0,0,X21,
20784621,KNIGHTS OF COLUMBUS,% BROTHER CARLOS ALINSOD,2801 N CHARLES ST,,BALTIMORE,MD,21218-4050,39.322569,-76.616863,1,0,3,3,2100,200310,1,16,000000000,1,1,201812,3,3,2,0,12,58222,31423,24353,B82,
20806317,THE SOLUTIONS TO LEARNING INC,% BOLIONG AMANG,2329 REISTERSTOWN RD,,BALTIMORE,MD,21217-1932,39.315532,-76.648636,1,0,3,3,1000,200304,1,4,000000000,1,1,201812,4,2,0,1,12,199898,13463,0,T22,
20808133,PILGRIM CHRISTIAN BAPTIST CHURCH,% JAMES E FORMAN,2305 MCELDERRY ST,,BALTIMORE,MD,21205-2415,39.297444,-76.584736,1,0,3,3,1000,200304,1,4,000000000,1,1,201812,5,4,0,1,12,972808,302693,0,T22,
30375886,HOLISTIC LIFE FOUNDATION INC,% ANDRES GONZALEZ,2601 N HOWARD ST STE 130,,BALTIMORE,MD,21218-4964,39.319729,-76.619438,1,0,3,3,7100,200406,1,10,000000000,1,1,,0,0,6,0,12,0,0,0,X20,
30408804,MARYLAND BUSINESS INCUBATION ASSOCIATION,% NEIL DAVIS,2400 BOSTON STREET,,BALTIMORE,MD,21224-4723,39.281616,-76.581486,1,0,3,3,1000,201112,1,15,000000000,1,1,201812,0,0,2,0,12,0,0,0,P75,
30418380,CHESAPEAKE SHAKESPEARE COMPANY,% IAN GALLANAR,7 S CALVERT ST,,BALTIMORE,MD,21202-1513,39.289448,-76.611784,1,188,8,9,1000,0,0,0,000000000,5,1,201812,0,0,2,0,12,0,0,0,,14102 SAINTS PHILIP & JAMES COUNCIL
30420587,GODS CHURCH OF GRACE AND MERCY,% PAUL C JOHNSON,1201 03 N GAY ST,,BALTIMORE,MD,21213-0000,39.30446,-76.593472,1,0,3,3,2000,200905,1,11,000000000,1,1,201907,0,0,2,0,7,0,0,0,B24,
30426836,BETHLEHEM A M E CHURCH,% MARIETTA RAMSEY,PO BOX 1652,,,,,0,0,0,3996,3,9,1000,200307,1,16,000000000,5,1,201806,0,0,2,0,6,0,0,0,B84,RED DYNASTY MSU ALUMNI CHAPTER
30445392,CRUSADE FOR CHRIST MINISTRIES INC,% PASTOR GLORIA HOLT,2400 DENISON ST,,BALTIMORE,MD,21216-2303,39.314736,-76.674688,1,3317,3,9,7000,199112,1,10,000000000,1,1,,0,0,6,0,6,0,0,0,,
30447108,HEALING THE LAND MINISTRIES,% DOUGLAS E WILLIAMS,2700 W MOSHER ST,,BALTIMORE,MD,21216-4314,39.299176,-76.661664,1,0,3,3,1000,200207,1,15,000000000,1,1,201712,5,6,1,0,12,801990,2222422,2222422,O99,
30447891,INTERNATIONAL CHRISTIAN COMMUNITY CHURCH,% THOMAS MWAURA,3406 BELAIR RD,,BALTIMORE,MD,21213-1248,39.322817,-76.572544,1,0,3,3,1200,201603,1,16,000000000,1,1,201906,0,0,2,0,6,0,0,0,W99,
30475252,DIVINE DELIVERANCE APOSTOLIC FAITH CHURCH,% SADIE ROANE,5217 REISTERSTOWN RD,,BALTIMORE,MD,21215-5018,39.34366,-76.684061,1,0,3,3,2000,200203,1,16,000000000,1,1,201808,6,6,1,0,8,4791464,1887447,1860028,A60,
30482876,ODONNELL HEIGHTS TENANT COUNCIL,% MICHELLE HOLMES TREASURER,1200 GUSRYAN ST,,BALTIMORE,MD,21224-5548,39.281395,-76.540652,1,0,3,3,7000,200208,1,10,000000000,1,1,,1,3,6,0,12,0,0,0,X21,
30489288,SANKOFA INC,% MEENA KHORANA,1700 E COLD SPRING LN,,BALTIMORE,MD,21251-0001,39.345459,-76.581116,0.9,0,3,3,7000,200311,1,10,000000000,1,1,,0,0,6,0,6,0,0,0,X21,
30499181,HOUSE OF FREEDOM INC,% ROBERT WATERS,1029 E BALTIMORE ST,,BALTIMORE,MD,21202-4705,39.290525,-76.602176,1,0,3,3,1000,200305,1,15,000000000,1,1,201812,0,0,2,0,12,0,0,0,X20,
30510375,APOSTOLIC CHURCH BELAIR ASSEMBLY,% JOHN FADIORA,4437 BELAIR RD,,BALTIMORE,MD,21206-6337,39.329797,-76.562712,1,0,3,3,7000,200404,1,10,000000000,1,1,,0,0,6,0,12,0,0,0,X21,
30529498,KINGDOM CENTER MINISTRIES,% EZIO ROSS,PO BOX 47065,,,,,0,0,0,0,3,3,1000,201802,1,16,000000000,1,1,201812,0,0,2,0,12,0,0,0,P20,
30547060,AUDREY HERMAN SPOTLIGHTERS THEATRE INC,% ROBERT RUSSELL,817 SAINT PAUL STREET,,BALTIMORE,MD,21202-2472,39.299417,-76.613838,1,0,3,3,7000,200412,1,10,000000000,1,1,,0,0,6,0,12,0,0,0,X20,
30575765,THE BEA AND DAVID ZACK MEMORIAL FOUNDATION INC,% DONALD ZACK,3 RUBY FIELD CT,,BALTIMORE,MD,21209-1559,39.381398,-76.676129,1,0,3,3,7000,201409,1,10,000000000,1,1,,0,0,6,0,12,0,0,0,X20,
30578470,GUARDIANSHIP MINISTRIES INC,% BISHOP ANN SCRIBER-BRIGGS MDIV,5407 WABASH AVE APT 2,,BALTIMORE,MD,21215-4857,39.343166,-76.69237,1,0,3,3,1200,200605,1,15,000000000,1,1,201812,0,0,2,0,12,0,0,0,L21,
30599762,G&E HILL FOUNDATION,% GLORIA HILL,21347 POST OFFICE,,BALTIMORE,MD,21282-0000,39.339287,-76.696177,0.5,0,3,3,1000,200307,1,15,000000000,1,1,201812,0,0,2,0,12,0,0,0,A33,
30601944,INTERFAITH ACADEMY CHURCH,% WILLIAM B SEWELL,2404 PENNSYLVANIA AVE 2ND FLR,,BALTIMORE,MD,21217-1722,39.309343,-76.642116,1,0,3,3,1000,200308,1,15,000000000,1,1,201806,8,8,1,0,6,23455292,13751832,13151521,L41,
36080173,KENNEDY FELLOWS ASSOCIATION TR INC,% THOMAS R MONTGOMERY,707 N BROADWAY,,BALTIMORE,MD,21205-1832,39.298699,-76.593679,1,0,3,3,7000,200309,1,10,000000000,1,1,,0,0,6,0,12,0,0,0,X21,
42620853,ASSOCIATION FOR PROFESSIONALS IN INFECTION CTRL & EPIDEMIOLOGY INC,% APIC INC,2401 W BELVEDERE AVE,,BALTIMORE,MD,21215-5216,39.352624,-76.661965,1,0,3,3,7000,200707,1,10,995263059,1,1,,0,0,6,0,12,0,0,0,X20,
43158741,NOTRE DAME VOLUNTEER CORPORATION,,5405 LOCH RAVEN BLVD,,BALTIMORE,MD,21239-2902,39.35553,-76.589418,1,0,3,3,2000,200505,1,16,001030150,1,1,201908,3,4,1,0,8,65993,160783,155084,A65,SPOTLIGHTERS
43538542,SOCIETY FOR BEHAVIORAL AND COGNITIVE NEUROLOGY,% SANDY BORNSTEIN,1629 THAMES ST STE 350,,BALTIMORE,MD,21231-3440,39.281026,-76.594603,1,0,3,3,1000,200601,1,4,000000000,1,1,201712,6,5,0,1,12,2680045,679569,0,T22,
43593681,11TH HOUR MINISTRIES INTERNATIONAL,% REV DIANNA D ROY,1612 APPLETON ST,,BALTIMORE,MD,21217-1114,39.306908,-76.649116,1,0,3,3,1000,200705,1,15,000000000,1,1,201712,0,0,2,0,12,0,0,0,X20,
43598368,BALTIMORE BOARD OF RABBIS INC,% DOBORAH WEEHSLER TREASURER,8501 ARBORWOOD RD,,BALTIMORE,MD,21208-1503,39.405182,-76.715593,1,0,3,3,1000,200610,1,15,000000000,1,1,201812,0,0,2,0,12,0,0,0,P20,
43606843,EDMONDSON HEIGHTS SEVENTH-DAY ADVENTIST CHURCH,% JEAN PAYNE,810 WALNUT AVE,,BALTIMORE,MD,21229-1621,39.29481,-76.688922,1,0,3,3,7000,201011,1,10,000000000,1,1,,0,0,6,0,12,0,0,0,X21,
43607400,A NEW FAITH COMMUNITY,% KAREN A FELLENZ,1635 W PRATT ST,,BALTIMORE,MD,21223-2446,39.285133,-76.643449,1,0,3,3,1000,200401,1,3,000000000,1,1,201812,5,3,0,1,12,622576,36960,0,T23,MONTGOMERY THOMAS R TTEE
43619719,OBIBIEZENNA PROGRESSIVE ASSOCIATION,% STELLA ETOH,2112 N CHARLES ST,,BALTIMORE,MD,21218-5738,39.313702,-76.617109,1,2628,3,9,1200,197506,1,16,000000000,5,1,201812,0,0,2,0,12,0,0,0,E72C,028 GREATER BALTIMORE
43627393,LIVE BALTIMORE HOME CENTER INC,% STEVEN C GONDOL,343 N CHARLES STREET 1ST FLOOR,,BALTIMORE,MD,21201-4326,39.293897,-76.615101,1,928,3,9,1700,194603,1,15,000000000,5,1,201808,6,7,1,0,8,4788156,6684744,6628217,P290,
43631395,APOSTOLIC WORD OF GOD DELIVERANCE CHURCH,% ELOUISE ROSE,1110 N WOLFE ST,,BALTIMORE,MD,21213-3348,39.30392,-76.591469,1,0,3,3,4000,200210,1,15,000000000,1,1,201812,0,0,2,0,12,0,0,0,V23,
43696712,MOUNT PLEASANT COMMUNITY DEVELOPMENT CORPORATION INC,% CLIFFORD JOHNSON,6000 RADECKE AVE,,BALTIMORE,MD,21206-3955,39.332472,-76.529688,1,0,3,3,1000,200209,1,10,000000000,1,1,,0,0,6,0,12,0,0,0,X21,
43781804,TRANSITIONING LIVES INC,% MEATRIA WILLIAMS,1515 E BIDDLE ST,,BALTIMORE,MD,21213-2901,39.303967,-76.596974,1,0,3,3,7000,200203,1,15,000000000,1,1,201806,0,0,2,0,6,0,0,0,X193,
43792474,HOPE SOLUTION ORGANIZATION INCORPORATED,% NYA C PARKS,3311 ELGIN AVE APT 2,,BALTIMORE,MD,21216-2453,39.31281,-76.674087,1,1071,3,9,7000,195001,1,10,000000000,1,1,,0,0,6,0,12,0,0,0,,
43796013,WOODLAWN HIGH SCHOOL NATIONAL ALUMNI ASSOCIATION INC,% CARLA SIMON,4019 DEEPWOOD RD,,BALTIMORE,MD,21218-1404,39.338078,-76.597635,1,0,3,3,7000,200208,1,15,000000000,1,1,201812,4,3,1,0,12,171154,84490,83380,X20,
43807041,MARYLAND CHAPTER OF THE AMER SOCIETY FOR PAIN MGMT NURSING,% T CATHERINE BOWER RN,2200 KERNAN DR,,BALTIMORE,MD,21207-6665,39.313212,-76.711522,1,0,3,3,1000,200211,1,15,000000000,1,1,201906,0,0,2,0,6,0,0,0,Q30,
43835193,NATIONAL BOOK CRITICS CIRCLE,% MARION WINIK,4600 KESWICK RD,,BALTIMORE,MD,21210-2517,39.34661,-76.630365,1,0,3,3,1200,200209,1,15,000000000,1,1,201806,5,6,1,0,6,684808,1082033,1062423,S21,
46113193,SOCIETY OF THE CIN IN THE STATE OF N H,% S B JEFFRIES CONSULTANTS,511 W JOPPA RD,,BALTIMORE,MD,21204-3819,39.405646,-76.613571,1,0,3,3,7000,200305,1,10,064059561,1,1,,0,0,6,0,12,0,0,0,X21,
50529246,MERRITT PARK BAPTIST CHURCH,% DR RONALD L WRIGHT,1799 MERRITT BLVD,,BALTIMORE,MD,21222-3223,39.266557,-76.504667,1,0,3,3,1000,200212,1,4,029002000,1,1,201812,1,2,0,1,12,1556,16041,0,P28,
50542073,CAREY FAMILY FOUNDATION,% M S HELLAUER,6225 SMITH AVE,,BALTIMORE,MD,21209-3626,39.374203,-76.656045,1,0,3,3,2100,200402,1,15,000000000,1,1,201812,1,4,1,0,12,6228,307242,317242,I43,
50556491,DOSWELL CATHEDRAL CHURCH OF GOD IN CHRIST,% LOIS A EVANS,520 DOSWELL AVE,,BALTIMORE,MD,21223-1038,39.294125,-76.658153,1,0,3,3,1200,200504,1,15,000000000,1,1,,0,0,0,0,12,0,0,0,,
50564985,AGAPE CONVENANT FELLOWSHIP MINISTRIES INC,% EDWARD RAMSEY,1205 LAKESIDE AVE,,BALTIMORE,MD,21218-3002,39.329091,-76.598807,1,0,3,3,1000,201008,1,15,001029000,1,1,201712,0,0,2,0,12,0,0,0,B82,
50572029,NEURO-SPINE RESEARCH AND HUMAN DEVELOPMENT ORGANIZATION INC,% AGHA S KHAN MD F A C S,2411 W BELVEDERE AVE STE 402,,BALTIMORE,MD,21215-5231,39.353079,-76.665223,1,0,6,3,1000,201503,2,0,000000000,5,1,201812,0,0,2,0,12,0,0,0,W30,
50584940,RECLAIMING OUR CHILDREN & COMMUNITY PROJECT INC,% DONTE WILSON,1900 EAST N PARKWAY STE 201,,BALTIMORE,MD,21213-1414,39.314942,-76.577841,0.33,0,3,3,3000,200609,1,16,000000000,1,1,201902,0,0,2,0,2,0,0,0,A33,
50616232,RESURRECTION MORNING CHURCH AND MINISTRIES INC,% NATHAN HARRID JR,4801 LIBERTY HEIGHTS AVE,,BALTIMORE,MD,21207-7157,39.331762,-76.697956,1,0,3,3,1200,192707,1,15,000000000,1,1,201812,6,5,1,0,12,1521286,710859,164536,,
50632734,CRISTO REY JESUIT HIGH SCHOOL,% TIMOTHY B BROWN,420 S CHESTER ST,,BALTIMORE,MD,21231-2729,39.286659,-76.58727,1,1601,3,9,7000,196310,1,10,000000000,5,1,,0,0,6,0,12,0,0,0,,
60835858,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,% NAZAR SCOTT,4805 MOUNT HOPE DR,,BALTIMORE,MD,21215-3206,39.344527,-76.709393,1,0,3,3,1000,200301,1,4,430059480,1,1,201812,1,2,0,1,12,2536,22645,0,T22,
61022896,WAY OF THE CROSS CHURCH OF CHRIST INTERNATIONAL,,PO BOX 39584,,,,,0,0,0,0,3,3,1000,201904,1,15,001000000,1,1,,0,0,1,0,12,0,0,0,X20,
61509744,INTERNATIONAL PARURESIS ASSOCIATION INC,% STEVEN SOIFER,5230 OLD FREDERICK RD,,BALTIMORE,MD,21229-2120,39.290677,-76.714828,1,0,3,3,7000,200403,1,10,179000000,1,1,,0,0,6,0,12,0,0,0,X21,
61608361,AFRICAN POPULATION HEALTH & RESEARCH CENTER INC,% MICHAEL MEYERSTEIN,,C/O MICHAEL MEYERSTEIN,,,,0,0,0,0,3,3,2000,201712,1,16,000000000,1,1,201812,0,0,2,0,12,0,0,0,S20,
61634698,NEW AID FOUNDATION NOVEL ENTERPRISE FOR WORLDS ABANDONED INFECT DISEAS,% DOUGLAS B MOGUL,1719 PARK AVE,,BALTIMORE,MD,21217-4390,39.309923,-76.627091,1,8100,3,9,7000,199603,1,10,000000000,5,1,,0,0,6,0,12,0,0,0,X2OZ,
61649957,NEW COVENANT APOSTOLIC FAITH CHURCH OF JESUS,% BISHOP WILLIAM E TATE,1125 N MOUNT ST,,BALTIMORE,MD,21217-2217,39.301541,-76.644256,1,0,3,3,1000,200401,1,4,000000000,1,1,201812,1,1,0,1,12,3186,1,0,G96,
61655047,THE STAR SPANGLED BANNER CHAPTER OF MILITARY OFFICERS ASSOC OF AMERICA,% RITA M KUREK,1231 ENGLEBERTH RD,,BALTIMORE,MD,21221-2010,39.278113,-76.395586,1,0,3,3,1000,200405,1,15,000000000,1,1,201812,3,5,1,0,12,52282,511368,511368,N31,
61660253,HELPING HANDS OUTREACH AND RESOURCE MINISTRIES,% ANGELA SCRUGGS,2127 HOMEWOOD AVE,,BALTIMORE,MD,21218-6104,39.314061,-76.606969,1,0,3,3,7000,201005,1,10,000000000,1,1,,0,0,6,0,3,0,0,0,X20,
61691198,NATIONAL FUND FOR THE AWARENESS OF VIOLENCE AGAINST WOMEN & CHILDREN,% LEROY ALLEN,743 W CROSS ST,,BALTIMORE,MD,21230-2523,39.279399,-76.627321,1,928,3,9,7200,194603,1,10,000000000,5,1,201906,0,0,6,0,6,0,0,0,,
61710518,COMMUNITY LAW IN ACTION INC,% TERRY HICKEY,520 W FAYETTE ST,,BALTIMORE,MD,21201-1781,39.290523,-76.623456,1,1531,4,9,1300,196111,2,0,000000000,5,1,,0,0,2,0,12,0,0,0,,2001 DANBURY NAACP
61758305,COTTDA FOUNDATION INC,% COTTDAFOUNDATION INC,3710 EDMONDSON AVE,,BALTIMORE,MD,21229-2017,39.29417,-76.678906,1,0,3,3,7000,198011,1,10,000000000,1,1,,0,0,6,0,7,0,0,0,,
61772390,LEGUM FOUNDATION INC,% JEFFREY A LEGUM,1829 REISTERSTOWN RD,,BALTIMORE,MD,21208-6320,39.389422,-76.737672,1,0,3,3,1200,199811,1,15,000000000,1,1,201712,4,4,1,0,12,161301,142849,142849,G99Z,
61780902,ARTS EVERY DAY INC,,120 W NORTH AVE STE 303,,BALTIMORE,MD,21201-5833,39.311353,-76.619005,1,0,3,3,1000,200109,1,15,000000000,1,1,201812,8,8,1,0,12,22325042,16400472,16400472,V35,DUNCAN GATOTO
61801624,THE ROCHE FAMILY FOUNDATION,% GEORGE A ROCHE,801 KEY HWY UNIT 455,,BALTIMORE,MD,21230-4197,39.280538,-76.605789,1,0,3,3,1000,200201,1,4,000000000,2,1,201806,2,2,0,1,6,10467,14845,0,T22,MOGUL DOUGLAS B TTEE
61803810,CHURCH OF CHRIST AT BALTIMORE,% CLARENCE DAVIS,1905 LYDONLEA WAY,,BALTIMORE,MD,21239-3103,39.3601,-76.578356,1,0,3,3,1270,200301,1,10,000000000,1,1,,0,0,6,0,12,0,0,0,X20,
61807774,SETH BUACHIE WORLD EVANGELISM,% SETH BUACHIE,1597 INGLESIDE AVE,,BALTIMORE,MD,21207-4956,39.301542,-76.717641,1,0,19,3,1000,200212,1,0,000000000,1,1,201812,0,0,2,0,12,0,0,0,W30,
61807804,WIND RIDERS ASSOCIATION OF BALTIMORE MARYLAND INC,% JAMES DILLEY,PO BOX 16789,,,,,0,0,0,0,3,3,7000,201910,1,10,000000000,1,1,,0,0,6,0,12,0,0,0,X20,
61808598,KNIGHTS OF FATIMA COUNCIL NO 10137 CHARITIES INC,% JOHN LUCZKOWSKI,6901 GOUGH ST,,BALTIMORE,MD,21224-1848,39.290403,-76.53053,1,0,3,3,1000,200302,1,15,000000000,1,1,201812,0,0,2,0,12,0,0,0,P60,
61813613,EMMANUELS ROCK INC,% DESSIE BEALE,3449 FALLS RD,,BALTIMORE,MD,21211-2405,39.329707,-76.634197,1,0,3,3,1000,200308,1,16,000000000,1,1,201812,3,4,1,0,12,95259,104753,104753,T70,
